size,threads,run,seconds,mbps,exit_code
50MB,32,1,1.817078128,27.51,0
50MB,32,2,1.817524512,27.50,0
50MB,32,3,1.818520700,27.49,0
50MB,32,4,1.818356469,27.49,0
50MB,32,5,2.321699484,21.53,0
50MB,32,6,1.815588045,27.53,0
50MB,32,7,1.816196268,27.53,0
50MB,32,8,1.818722269,27.49,0
50MB,32,9,1.815982282,27.53,0
50MB,32,10,1.817232208,27.51,0
50MB,32,11,1.816009154,27.53,0
50MB,32,12,1.817292230,27.51,0
50MB,32,13,1.816823664,27.52,0
50MB,32,14,1.816854954,27.52,0
50MB,32,15,1.818135968,27.50,0
50MB,32,16,1.817576625,27.50,0
50MB,32,17,1.818346207,27.49,0
50MB,32,18,1.816788301,27.52,0
50MB,32,19,1.817726250,27.50,0
50MB,32,20,2.319477850,21.55,0
50MB,32,21,2.318877242,21.56,0
50MB,32,22,1.818757794,27.49,0
50MB,32,23,2.219553995,22.52,0
50MB,32,24,2.217664088,22.54,0
50MB,32,25,1.817733732,27.50,0
50MB,32,26,2.318831511,21.56,0
50MB,32,27,2.317748983,21.57,0
50MB,32,28,2.318519470,21.56,0
50MB,32,29,2.319927838,21.55,0
50MB,32,30,1.816818870,27.52,0
50MB,32,31,1.818059351,27.50,0
50MB,32,32,1.819888127,27.47,0
50MB,32,33,2.221864882,22.50,0
50MB,32,34,1.818407007,27.49,0
50MB,32,35,1.823046889,27.42,0
50MB,32,36,1.817564745,27.50,0
50MB,32,37,1.817562345,27.50,0
50MB,32,38,2.319880077,21.55,0
50MB,32,39,1.817059904,27.51,0
50MB,32,40,1.816636414,27.52,0
50MB,32,41,1.816319574,27.52,0
50MB,32,42,1.817199147,27.51,0
50MB,32,43,1.817410161,27.51,0
50MB,32,44,1.818147310,27.50,0
50MB,32,45,1.816384184,27.52,0
50MB,32,46,1.819396369,27.48,0
50MB,32,47,1.818142209,27.50,0
50MB,32,48,1.816214611,27.52,0
50MB,32,49,1.816615832,27.52,0
50MB,32,50,1.818532850,27.49,0
50MB,32,51,1.816868671,27.51,0
50MB,32,52,1.816699377,27.52,0
50MB,32,53,1.818815824,27.49,0
50MB,32,54,2.319253212,21.55,0
50MB,32,55,2.319368518,21.55,0
50MB,32,56,1.816897371,27.51,0
50MB,32,57,1.820832857,27.45,0
50MB,32,58,1.816741715,27.52,0
50MB,32,59,1.817962925,27.50,0
50MB,32,60,1.816488784,27.52,0
50MB,32,61,1.817834260,27.50,0
50MB,32,62,1.817569397,27.50,0
50MB,32,63,1.816365346,27.52,0
50MB,32,64,1.821282348,27.45,0
50MB,32,65,1.817553955,27.50,0
50MB,32,66,1.817465638,27.51,0
50MB,32,67,1.817652388,27.50,0
50MB,32,68,1.820569146,27.46,0
50MB,32,69,1.817119750,27.51,0
50MB,32,70,1.817126121,27.51,0
50MB,32,71,1.818091363,27.50,0
50MB,32,72,1.819707562,27.47,0
50MB,32,73,1.819701370,27.47,0
50MB,32,74,1.816033802,27.53,0
50MB,32,75,1.816734411,27.52,0
50MB,32,76,1.819151852,27.48,0
50MB,32,77,1.815886465,27.53,0
50MB,32,78,1.817964828,27.50,0
50MB,32,79,1.817727618,27.50,0
50MB,32,80,1.820472075,27.46,0
50MB,32,81,1.816916880,27.51,0
50MB,32,82,1.817171298,27.51,0
50MB,32,83,1.817418880,27.51,0
50MB,32,84,1.818133393,27.50,0
50MB,32,85,1.816889442,27.51,0
50MB,32,86,1.817354520,27.51,0
50MB,32,87,2.317958427,21.57,0
50MB,32,88,1.817087632,27.51,0
50MB,32,89,1.816396337,27.52,0
50MB,32,90,1.818690322,27.49,0
50MB,32,91,1.820224645,27.46,0
50MB,32,92,1.817685376,27.50,0
50MB,32,93,1.818657760,27.49,0
50MB,32,94,1.817558259,27.50,0
50MB,32,95,1.819146994,27.48,0
50MB,32,96,1.819387109,27.48,0
50MB,32,97,1.819522007,27.47,0
50MB,32,98,1.817982673,27.50,0
50MB,32,99,1.820874616,27.45,0
50MB,32,100,1.816512029,27.52,0
1MB,4,1,.716539273,1.39,0
1MB,4,2,.715757512,1.39,0
1MB,4,3,.715380986,1.39,0
1MB,4,4,.714871516,1.39,0
1MB,4,5,.717743767,1.39,0
1MB,4,6,.717081930,1.39,0
1MB,4,7,.717813269,1.39,0
1MB,4,8,.719235888,1.39,0
1MB,4,9,.717429596,1.39,0
1MB,4,10,.717996751,1.39,0
1MB,4,11,.717307163,1.39,0
1MB,4,12,.717716639,1.39,0
1MB,4,13,.715791415,1.39,0
1MB,4,14,.716992147,1.39,0
1MB,4,15,.718684691,1.39,0
1MB,4,16,.717322690,1.39,0
1MB,4,17,.715999103,1.39,0
1MB,4,18,.719128755,1.39,0
1MB,4,19,.714991992,1.39,0
1MB,4,20,.714807343,1.39,0
1MB,4,21,.714525076,1.39,0
1MB,4,22,.715645383,1.39,0
1MB,4,23,.714530836,1.39,0
1MB,4,24,.716121658,1.39,0
1MB,4,25,.715948525,1.39,0
1MB,4,26,.716532830,1.39,0
1MB,4,27,.717137827,1.39,0
1MB,4,28,.718186343,1.39,0
1MB,4,29,.715418767,1.39,0
1MB,4,30,.714898162,1.39,0
1MB,4,31,.715113911,1.39,0
1MB,4,32,.715621342,1.39,0
1MB,4,33,.715472867,1.39,0
1MB,4,34,.719351326,1.39,0
1MB,4,35,.716181310,1.39,0
1MB,4,36,.718286287,1.39,0
1MB,4,37,.717916465,1.39,0
1MB,4,38,.715340948,1.39,0
1MB,4,39,.717527131,1.39,0
1MB,4,40,.715668211,1.39,0
1MB,4,41,.715818275,1.39,0
1MB,4,42,.715486687,1.39,0
1MB,4,43,.716468734,1.39,0
1MB,4,44,.719666166,1.38,0
1MB,4,45,.715503531,1.39,0
1MB,4,46,.715008559,1.39,0
1MB,4,47,.717073587,1.39,0
1MB,4,48,.715286367,1.39,0
1MB,4,49,.715221273,1.39,0
1MB,4,50,.716098688,1.39,0
1MB,4,51,.718175129,1.39,0
1MB,4,52,.715826296,1.39,0
1MB,4,53,.719298750,1.39,0
1MB,4,54,.717323784,1.39,0
1MB,4,55,.715282322,1.39,0
1MB,4,56,.716289591,1.39,0
1MB,4,57,.716540591,1.39,0
1MB,4,58,.719591257,1.38,0
1MB,4,59,.716882488,1.39,0
1MB,4,60,.718647395,1.39,0
1MB,4,61,.718125905,1.39,0
1MB,4,62,.718042696,1.39,0
1MB,4,63,.719316344,1.39,0
1MB,4,64,.716823244,1.39,0
1MB,4,65,.714233189,1.40,0
1MB,4,66,.715777904,1.39,0
1MB,4,67,.715182791,1.39,0
1MB,4,68,.714367145,1.39,0
1MB,4,69,.715783846,1.39,0
1MB,4,70,.717465284,1.39,0
1MB,4,71,.715102271,1.39,0
1MB,4,72,.716527844,1.39,0
1MB,4,73,.718778545,1.39,0
1MB,4,74,.718761252,1.39,0
1MB,4,75,.715235331,1.39,0
1MB,4,76,.716022353,1.39,0
1MB,4,77,.716514990,1.39,0
1MB,4,78,.719248148,1.39,0
1MB,4,79,.715193494,1.39,0
1MB,4,80,.717323585,1.39,0
1MB,4,81,.717134327,1.39,0
1MB,4,82,.715111630,1.39,0
1MB,4,83,.717272992,1.39,0
1MB,4,84,.720062985,1.38,0
1MB,4,85,.717852302,1.39,0
1MB,4,86,.714324406,1.39,0
1MB,4,87,.715025937,1.39,0
1MB,4,88,.715048371,1.39,0
1MB,4,89,.716924572,1.39,0
1MB,4,90,.715091032,1.39,0
1MB,4,91,.715087903,1.39,0
1MB,4,92,.717010471,1.39,0
1MB,4,93,.715636084,1.39,0
1MB,4,94,.717176576,1.39,0
1MB,4,95,.716840930,1.39,0
1MB,4,96,.718357889,1.39,0
1MB,4,97,.717734856,1.39,0
1MB,4,98,.715051634,1.39,0
1MB,4,99,.715548999,1.39,0
1MB,4,100,.716945547,1.39,0
100MB,32,1,4.826979241,20.71,0
100MB,32,2,3.825758094,26.13,0
100MB,32,3,3.323917980,30.08,0
100MB,32,4,3.319430765,30.12,0
100MB,32,5,3.319308305,30.12,0
100MB,32,6,3.321428141,30.10,0
100MB,32,7,3.320378856,30.11,0
100MB,32,8,3.319691390,30.12,0
100MB,32,9,3.320421601,30.11,0
100MB,32,10,3.320831875,30.11,0
100MB,32,11,3.319877017,30.12,0
100MB,32,12,3.320242409,30.11,0
100MB,32,13,3.320398218,30.11,0
100MB,32,14,3.319203803,30.12,0
100MB,32,15,3.322528114,30.09,0
100MB,32,16,3.319328946,30.12,0
100MB,32,17,3.317731558,30.14,0
100MB,32,18,3.319009080,30.12,0
100MB,32,19,3.319178729,30.12,0
100MB,32,20,3.819756427,26.17,0
100MB,32,21,3.820171306,26.17,0
100MB,32,22,3.819295875,26.18,0
100MB,32,23,3.820167128,26.17,0
100MB,32,24,3.819777348,26.17,0
100MB,32,25,3.321441067,30.10,0
100MB,32,26,4.322604999,23.13,0
100MB,32,27,3.319305456,30.12,0
100MB,32,28,3.319835683,30.12,0
100MB,32,29,3.319587111,30.12,0
100MB,32,30,3.320532665,30.11,0
100MB,32,31,3.821964692,26.16,0
100MB,32,32,3.319670433,30.12,0
100MB,32,33,3.319920724,30.12,0
100MB,32,34,3.821177412,26.16,0
100MB,32,35,3.319348105,30.12,0
100MB,32,36,3.318425643,30.13,0
100MB,32,37,3.320696035,30.11,0
100MB,32,38,3.318971109,30.12,0
100MB,32,39,3.319749313,30.12,0
100MB,32,40,3.323646513,30.08,0
100MB,32,41,3.319887037,30.12,0
100MB,32,42,3.319337150,30.12,0
100MB,32,43,3.819211129,26.18,0
100MB,32,44,3.319935801,30.12,0
100MB,32,45,3.319560067,30.12,0
100MB,32,46,3.322696260,30.09,0
100MB,32,47,3.319367588,30.12,0
100MB,32,48,3.719357801,26.88,0
100MB,32,49,3.321899517,30.10,0
100MB,32,50,3.319604921,30.12,0
100MB,32,51,3.322831774,30.09,0
100MB,32,52,3.318504849,30.13,0
100MB,32,53,3.318606813,30.13,0
100MB,32,54,3.321547997,30.10,0
100MB,32,55,3.318868156,30.13,0
100MB,32,56,3.320347216,30.11,0
100MB,32,57,3.825127970,26.14,0
100MB,32,58,3.819388658,26.18,0
100MB,32,59,4.325474213,23.11,0
100MB,32,60,4.353778430,22.96,0
100MB,32,61,3.823593431,26.15,0
100MB,32,62,3.819802586,26.17,0
100MB,32,63,3.821696371,26.16,0
100MB,32,64,4.324511362,23.12,0
100MB,32,65,4.830857885,20.70,0
100MB,32,66,3.823689230,26.15,0
100MB,32,67,3.720126727,26.88,0
100MB,32,68,4.221166892,23.69,0
100MB,32,69,3.819842797,26.17,0
100MB,32,70,4.322999644,23.13,0
100MB,32,71,3.320469114,30.11,0
100MB,32,72,3.320312946,30.11,0
100MB,32,73,3.320160042,30.11,0
100MB,32,74,3.318955699,30.12,0
100MB,32,75,3.318814106,30.13,0
100MB,32,76,3.321430540,30.10,0
100MB,32,77,3.318485000,30.13,0
100MB,32,78,3.320147231,30.11,0
100MB,32,79,3.319468434,30.12,0
100MB,32,80,3.319129613,30.12,0
100MB,32,81,3.319620253,30.12,0
100MB,32,82,3.321804548,30.10,0
100MB,32,83,3.319691322,30.12,0
100MB,32,84,3.320146524,30.11,0
100MB,32,85,3.317658350,30.14,0
100MB,32,86,3.319364847,30.12,0
100MB,32,87,3.319507475,30.12,0
100MB,32,88,3.319339154,30.12,0
100MB,32,89,3.319492458,30.12,0
100MB,32,90,3.318866320,30.13,0
100MB,32,91,3.319792163,30.12,0
100MB,32,92,3.319233774,30.12,0
100MB,32,93,3.820773331,26.17,0
100MB,32,94,3.319227619,30.12,0
100MB,32,95,3.318914214,30.13,0
100MB,32,96,3.319338825,30.12,0
100MB,32,97,3.319796068,30.12,0
100MB,32,98,3.320089103,30.11,0
100MB,32,99,3.320593375,30.11,0
100MB,32,100,3.319433996,30.12,0
250MB,32,1,7.326801358,34.12,0
250MB,32,2,7.830038000,31.92,0
250MB,32,3,7.323825908,34.13,0
250MB,32,4,7.326096689,34.12,0
250MB,32,5,6.824875581,36.63,0
250MB,32,6,7.325561791,34.12,0
250MB,32,7,7.325238114,34.12,0
250MB,32,8,7.324653060,34.13,0
250MB,32,9,7.325439236,34.12,0
250MB,32,10,6.824286727,36.63,0
250MB,32,11,6.826394840,36.62,0
250MB,32,12,6.830057801,36.60,0
250MB,32,13,7.327764592,34.11,0
250MB,32,14,6.823339913,36.63,0
250MB,32,15,6.823069258,36.64,0
250MB,32,16,6.825284620,36.62,0
250MB,32,17,7.324488936,34.13,0
250MB,32,18,7.824295258,31.95,0
250MB,32,19,7.325324952,34.12,0
250MB,32,20,7.323664074,34.13,0
250MB,32,21,7.324461882,34.13,0
250MB,32,22,7.323318114,34.13,0
250MB,32,23,7.827112529,31.94,0
250MB,32,24,7.826766810,31.94,0
250MB,32,25,7.326594158,34.12,0
250MB,32,26,7.325248799,34.12,0
250MB,32,27,7.325098085,34.12,0
250MB,32,28,7.323267688,34.13,0
250MB,32,29,7.325623180,34.12,0
250MB,32,30,6.826323378,36.62,0
250MB,32,31,6.824786542,36.63,0
250MB,32,32,7.325370292,34.12,0
250MB,32,33,6.823714952,36.63,0
250MB,32,34,6.822562362,36.64,0
250MB,32,35,7.323677927,34.13,0
250MB,32,36,7.324992858,34.12,0
250MB,32,37,6.824567586,36.63,0
250MB,32,38,6.824917116,36.63,0
250MB,32,39,6.824377820,36.63,0
250MB,32,40,6.824515537,36.63,0
